"カテゴリ","観点","タスクNo","後続タスクNo","担当者","進行状況","優先度","Start","End","check"
"マイルストーン","キックオフ","1",,"","進行中","高","2025/08/20","2025/08/20",
"マイルストーン","チェックポイント1","6",,"","進行中","高","2025/09/30","2025/09/30",
"PMO","定例管理","2","3;4","山田","完了済み","高","2025/08/08","2025/08/18",
"構築-基盤環境","契約事務","3",,"佐藤","遅延","高","2025/08/05","2025/08/20",
"構築-基盤環境","構築前準備","5",,"","進行中","中","2025/08/30","2025/10/8",
"活用 PoC① エージェント構築","取り組み具体化","4",,"鈴木","進行中","中","2025/08/25","2025/09/18","2025/09/02"
"構築-アプリケーション","API設計","7","8","田中","未着手","中","2025/09/05","2025/09/15",
"構築-アプリケーション","実装","8","9","田中","未着手","高","2025/09/16","2025/10/05",
"テスト","単体テスト","9","10","高橋","未着手","中","2025/10/06","2025/10/20",
"テスト","結合テスト","10",,"高橋","未着手","中","2025/10/21","2025/11/05",
"マイルストーン","リリース","11",,"","未着手","高","2025/11/10","2025/11/10",
"追加カテゴリ1","追加タスク12","12",,"佐藤","未着手","高","2025/08/20","2025/08/25",
"追加カテゴリ2","追加タスク13","13",,"鈴木","進行中","中","2025/08/22","2025/08/27",
"追加カテゴリ3","追加タスク14","14",,"田中","完了済み","低","2025/08/24","2025/08/29",
"追加カテゴリ4","追加タスク15","15",,"高橋","未着手","高","2025/08/26","2025/08/31",
"追加カテゴリ5","追加タスク16","16",,"伊藤","進行中","中","2025/08/28","2025/09/02",
"追加カテゴリ1","追加タスク17","17",,"佐藤","完了済み","低","2025/08/30","2025/09/04",
"追加カテゴリ2","追加タスク18","18",,"鈴木","未着手","高","2025/09/01","2025/09/06",
"追加カテゴリ3","追加タスク19","19",,"田中","進行中","中","2025/09/03","2025/09/08",
"追加カテゴリ4","追加タスク20","20",,"高橋","完了済み","低","2025/09/05","2025/09/10",
"追加カテゴリ5","追加タスク21","21",,"伊藤","未着手","高","2025/09/07","2025/09/12",
"追加カテゴリ1","追加タスク22","22",,"佐藤","進行中","中","2025/09/09","2025/09/14",
"追加カテゴリ2","追加タスク23","23",,"鈴木","完了済み","低","2025/09/11","2025/09/16",
"追加カテゴリ3","追加タスク24","24",,"田中","未着手","高","2025/09/13","2025/09/18",
"追加カテゴリ4","追加タスク25","25",,"高橋","進行中","中","2025/09/15","2025/09/20",
"追加カテゴリ5","追加タスク26","26",,"伊藤","完了済み","低","2025/09/17","2025/09/22",
"追加カテゴリ1","追加タスク27","27",,"佐藤","未着手","高","2025/09/19","2025/09/24",
"追加カテゴリ2","追加タスク28","28",,"鈴木","進行中","中","2025/09/21","2025/09/26",
"追加カテゴリ3","追加タスク29","29",,"田中","完了済み","低","2025/09/23","2025/09/28",
"追加カテゴリ4","追加タスク30","30",,"高橋","未着手","高","2025/09/25","2025/09/30",
"追加カテゴリ5","追加タスク31","31",,"伊藤","進行中","中","2025/09/27","2025/10/02",
"追加カテゴリ1","追加タスク32","32",,"佐藤","完了済み","低","2025/09/29","2025/10/04",
"追加カテゴリ2","追加タスク33","33",,"鈴木","未着手","高","2025/10/01","2025/10/06",
"追加カテゴリ3","追加タスク34","34",,"田中","進行中","中","2025/10/03","2025/10/08",
"追加カテゴリ4","追加タスク35","35",,"高橋","完了済み","低","2025/10/05","2025/10/10",
"追加カテゴリ5","追加タスク36","36",,"伊藤","未着手","高","2025/10/07","2025/10/12",
"追加カテゴリ1","追加タスク37","37",,"佐藤","進行中","中","2025/10/09","2025/10/14",
"追加カテゴリ2","追加タスク38","38",,"鈴木","完了済み","低","2025/10/11","2025/10/16",
"追加カテゴリ3","追加タスク39","39",,"田中","未着手","高","2025/10/13","2025/10/18",
"追加カテゴリ4","追加タスク40","40",,"高橋","進行中","中","2025/10/15","2025/10/20",
"追加カテゴリ5","追加タスク41","41",,"伊藤","完了済み","低","2025/10/17","2025/10/22",
"追加カテゴリ1","追加タスク42","42",,"佐藤","未着手","高","2025/10/19","2025/10/24",
"追加カテゴリ2","追加タスク43","43",,"鈴木","進行中","中","2025/10/21","2025/10/26",
"追加カテゴリ3","追加タスク44","44",,"田中","完了済み","低","2025/10/23","2025/10/28",
"追加カテゴリ4","追加タスク45","45",,"高橋","未着手","高","2025/10/25","2025/10/30",
